gt,generated,psnr,ssim,lpips,loe
10035_00_10s.ARW,test_10035_01_0.04s.png,28.493254700133548,0.86240816,0.3077160120010376,260.74
10035_00_10s.ARW,test_10035_01_0.1s.png,31.67951969085849,0.90432,0.25413745641708374,153.9304
10035_00_10s.ARW,test_10035_02_0.1s.png,31.668368697098373,0.9042861,0.2546391487121582,155.4792
10035_00_10s.ARW,test_10035_03_0.1s.png,31.676772630354332,0.9042568,0.2535214126110077,155.7556
10035_00_10s.ARW,test_10035_04_0.1s.png,31.651720173134628,0.904192,0.2549753487110138,160.2156
10035_00_10s.ARW,test_10035_05_0.1s.png,31.397265859061953,0.9002225,0.25511300563812256,155.4352
10035_00_10s.ARW,test_10035_06_0.1s.png,31.460244985979884,0.9020298,0.2552489638328552,154.0412
10035_00_10s.ARW,test_10035_07_0.1s.png,31.64936851935106,0.90413517,0.25386863946914673,156.9
10035_00_10s.ARW,test_10035_08_0.1s.png,31.649389989438923,0.9041579,0.25364649295806885,158.8424
10035_00_10s.ARW,test_10035_09_0.1s.png,31.604465538855273,0.9041807,0.25466737151145935,158.6912
10035_00_10s.ARW,test_10035_10_0.1s.png,31.654171559127352,0.904253,0.2536761164665222,158.3088
10040_00_10s.ARW,test_10040_00_0.04s.png,29.073369673639007,0.83434534,0.4517228603363037,98.1216
10040_00_10s.ARW,test_10040_00_0.1s.png,29.90209160353195,0.8599197,0.4435216784477234,70.5904
10040_00_10s.ARW,test_10040_01_0.04s.png,28.919564583544478,0.8343279,0.4512694478034973,93.984
10040_00_10s.ARW,test_10040_01_0.1s.png,29.944884020128203,0.8600567,0.4436376690864563,71.592
10040_00_10s.ARW,test_10040_02_0.1s.png,29.86183099385647,0.8599319,0.44504261016845703,71.1344
10040_00_10s.ARW,test_10040_03_0.1s.png,29.96303238245414,0.85982865,0.4433369040489197,71.6916
10040_00_10s.ARW,test_10040_04_0.1s.png,29.961254485404048,0.86003274,0.4437975585460663,71.1684
10040_00_10s.ARW,test_10040_05_0.1s.png,29.894032287835536,0.85987216,0.44506946206092834,71.6504
10040_00_10s.ARW,test_10040_06_0.1s.png,29.934669744485134,0.85968876,0.4435480833053589,72.0072
10040_00_10s.ARW,test_10040_07_0.1s.png,29.933024015583808,0.85988647,0.44317102432250977,71.0336
10040_00_10s.ARW,test_10040_08_0.1s.png,29.949830760942948,0.86011785,0.44327476620674133,72.3832
10040_00_10s.ARW,test_10040_09_0.1s.png,29.981711578288333,0.859746,0.4439968168735504,71.9608
10054_00_10s.ARW,test_10054_00_0.04s.png,20.353760187994247,0.7794513,0.3861114978790283,104.4456
10054_00_10s.ARW,test_10054_00_0.1s.png,20.037099668900144,0.80435413,0.3892793655395508,94.6064
10054_00_10s.ARW,test_10054_01_0.04s.png,20.41127560801995,0.779344,0.3854997158050537,106.8068
10054_00_10s.ARW,test_10054_01_0.1s.png,20.042444730837502,0.80438495,0.38907307386398315,94.6684
10054_00_10s.ARW,test_10054_02_0.1s.png,20.00909339108751,0.8039505,0.3907327651977539,94.0012
10054_00_10s.ARW,test_10054_03_0.1s.png,20.05394575443869,0.8042872,0.3896036744117737,94.4048
10054_00_10s.ARW,test_10054_04_0.1s.png,20.022594356130096,0.8041809,0.3904568552970886,94.0184
10054_00_10s.ARW,test_10054_05_0.1s.png,20.046642732249957,0.80417997,0.39026808738708496,94.0648
